Content,Title,categories,Age,inf
New safety inspections are part of Gov. Greg Abbott’s effort to crack down on border smuggling. But industry groups say it is stifling trade.,"As Texas Snarls Traffic at Border, Mexican Truckers Form Blockade",POLITICS,558,25.0
A spokesman for the Facebook founder said the money sent to election offices in 2020 was a “one-time donation.” The grants prompted Republicans to push for bans on private donations for elections.,Mark Zuckerberg Ends Election Grants,POLITICS,730,25.0
"As a secretary in a forced-labor camp in World War II, she added her own name to the list of 1,100 Jews who would be spared from the gas chambers.","Mimi Reinhard, Who Typed Up Schindler’s List, Dies at 107",WORLD NEWS,357,56.5
"Daniel Kinahan is accused of leading an Irish organized crime group, and he has been involved with some of boxing’s biggest stars, including Tyson Fury.",U.S. Crackdown Targets Boxing Figure Accused of Organized Crime,SPORTS,756,7.5
"There’s limited data on how marijuana impacts driving performance, but experts urge caution before getting behind the wheel.",Is Driving High as Dangerous as Driving Drunk?,WELLNESS & HEALTHY LIVING,1530,86.5
Expert advice on whether trimming or waxing your nose hairs might increase the risk of respiratory infections.,Is Nose Hair Essential to Fighting Off Colds and Other Viral Illnesses?,WELLNESS & HEALTHY LIVING,370170,86.5
"They won’t cause you any harm, but there are reasons to remove them before taking a bite.",Does It Matter if I Eat the Stickers on Fruits and Vegetables?,WELLNESS & HEALTHY LIVING,212502,86.5
Some 100 drugs can have dangerous and even life-threatening effects if you eat grapefruit or drink grapefruit juice while taking them.,Can Grapefruit Juice Affect My Thyroid Medicine?,WELLNESS & HEALTHY LIVING,1629513,86.5
"She is the fifth person since 2008 to lead the Museum of Contemporary Art in Los Angeles, an important institution that has faced a great deal of turmoil.","After Upheaval, MOCA Bets on Johanna Burton to Bring Stability",ARTS & CULTURE,2425,17.0
"My friends and family don’t get it. All I can do is try to describe what it’s like to be with them, the moments I’m not sure I can do without.",Rabbits Are Boring Pets. I Love Them Anyway.,WELLNESS & HEALTHY LIVING,1530,86.5
"“Blind Owl,” by Sadeq Hedayat, is a hallucinatory short novel that upends Persian artistic traditions.","Sadeq Hedayat, Iran’s Misunderstood Literary Modernist",ARTS & CULTURE,1530,17.0
"Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.",Tiny Love Stories: ‘We Never Asked; He Never Explained’,ARTS & CULTURE,913,17.0
"The actor is back on Broadway for a revival of David Mamet’s “American Buffalo.” He discusses his other must-haves, like a chef’s knife, trampolines and crystals.",Laurence Fishburne Cools Down With Classic Jazz and Cashmere Blankets,ENTERTAINMENT & FUN,1181,86.5
"<p>Musk took several weeks to reveal his stake, violating federal law requiring disclosure within 10 days</p><p>A Twitter shareholder is suing Elon Musk for failing to disclose that he had bought a substantial stake in the company, affecting share prices.</p><p>The Tesla CEO revealed on 4 April that he had acquired a 9.2% stake in Twitter. Shares in the social media company soared, as investors viewed the move as a vote of confidence from the richest man in the world.</p> <a href=""https://www.theguardian.com/technology/2022/apr/12/elon-musk-twitter-lawsuit-shares"">Continue reading...</a>",Twitter investor sues Elon Musk for failure to promptly disclose his shares,BUSINESS & MONEY,583,36.5
"<p>Good combination of speed, long battery life, rapid charging, svelte design and solid camera at a reasonable price</p><p>The latest high-end smartphone from OnePlus is a top-spec device with a good combination of aesthetics and performance, and a price that undercuts rivals. Just don’t sit on it.</p><p>The 10 Pro costs from £799 ($899), which is still premium priced but £30 cheaper than <a href=""https://www.theguardian.com/technology/2021/mar/24/oneplus-9-pro-review-super-slick-rapid-charging-android-phone"">last year’s model</a> and £250 less than the parent company <a href=""https://www.theguardian.com/technology/2022/mar/28/oppo-find-x5-pro-review-slick-android-let-down-by-weak-camera-zoom"">Oppo’s Find X5 Pro</a>.</p><p><strong>Screen:</strong> 6.7in 120Hz QHD+ OLED (525ppi)</p><p><strong>Processor:</strong> Qualcomm Snapdragon 8 Gen 1</p><p><strong>RAM:</strong> 8 or 12GB of RAM</p><p><strong>Storage:</strong> 128 or 256GB</p><p><strong>Operating system:</strong> OxygenOS 12.1 (Android 12)</p><p><strong>Camera:</strong> 48MP main, 50MP ultra-wide, 8MP 3.3x telephoto; 32MP selfie</p><p><strong>Connectivity:</strong> 5G, eSIM, wifi 6, NFC, Bluetooth 5.2 and GNSS</p><p><strong>Water resistance rating:</strong> None</p><p><strong>Dimensions:</strong> 163 x 73.9 x 8.6mm</p><p><strong>Weight:</strong> 200.5g</p> <a href=""https://www.theguardian.com/technology/2022/apr/12/oneplus-10-pro-review-slick-performance-costing-less-than-rivals-battery-camera"">Continue reading...</a>",OnePlus 10 Pro review: slick performance costing less than rivals,SCIENCE & TECH,1710,56.5
"<p><strong>Pam Lunn</strong> is not impressed by the environmental credentials of the all-electric version of the supersized pickup truck</p><p>Electric vehicles are not climate-friendly, but merely somewhat less climate-unfriendly than petrol or diesel ones. There are carbon emissions from manufacturing the vehicle, and from generating electricity to charge the battery. The wider environmental damage includes pollution from mining and processing battery components, particulate air pollution from tyres and brakes, and pollution from the disposal of batteries. The very idea of a climate-friendly Hummer is a kind of Orwellian doublethink (<a href=""https://www.theguardian.com/environment/2022/apr/07/electric-hummer-vehicles-climate-crisis"" title="""">I test-drove the all-electric Hummer. Can it win over America’s EV skeptics?, 7 April</a>).<br incopy-break-type=""webbreak""><strong>Pam Lunn</strong><br incopy-break-type=""webbreak""><em>Kenilworth, Warwickshire</em></p><p><strong>• <em>Have an opinion on anything you’ve read in the Guardian today? Please </em></strong><a href=""mailto:guardian.letters@theguardian.com"" title=""""><strong><em>email</em></strong></a><strong><em> us your letter and it will be considered for publication.</em></strong></p> <a href=""https://www.theguardian.com/environment/2022/apr/11/cars-are-never-green-and-the-idea-that-a-hummer-can-be-climate-friendly-is-absurd"">Continue reading...</a>",Cars are never green – and the idea that a Hummer can be climate-friendly is absurd | Letter,ENVIRONMENT & GREEN,2493,12.5
"<p>Clip prompts amusement online as car stops, then drives across an intersection, leaving police behind</p><p>A video recently posted online shows what happens when police try to apprehend an autonomous vehicle – only to find nobody inside.</p><p>Police in San Francisco stopped a vehicle operated by Cruise, an autonomous car company backed by General Motors, in<a href=""https://www.instagram.com/tv/Cb1q-vggFn9/""> a video posted on 1 April</a>. Officers approached the car, which had been driving without headlights, only to find it was empty.</p> <a href=""https://www.theguardian.com/technology/2022/apr/11/self-driving-car-police-pull-over-san-francisco"">Continue reading...</a>","San Francisco police stop self-driving car – and find nobody inside, video shows",CRIME,2158,7.5
"<p>As Sydney’s ‘last, best’ video shop closes, what’s the future for physical media in Australia, and for the communities who collect them?</p><ul><li><em>We would love to hear about your film collections, big or small. Share them in the comments below</em></li></ul><p>In 2015, between dusty rows of shelves in a small op-shop somewhere in suburban Sydney, I made a vow to myself: whenever I spotted a copy of Dude, Where’s My Car? on DVD, I would have to buy it.</p><p>There was no deeper thought behind the mission. To this day I have not even watched the movie. But something about its cover – Ashton Kutcher, wide-eyed, hamming into the camera; the extremely Y2K gradient; the charmingly chunky letters spelling out its title – felt right. It felt soothing.</p> <a href=""https://www.theguardian.com/culture/2022/apr/12/open-thread-do-you-still-use-dvds-or-videos-has-your-collection-survived"">Continue reading...</a>",Open thread: do you still use DVDs or videos? Has your collection survived?,ENTERTAINMENT & FUN,2460,86.5
"<p>Speedcam Anywhere allows anyone to submit evidence of drivers speeding </p><p>The developers of a new app that uses AI to estimate the speed of a passing car say they have been forced into anonymity by the vicious response from drivers.</p><p>The app, <a href=""https://speedcamanywhere.com"">Speedcam Anywhere</a>, is the product of a team of AI scientists with backgrounds in Silicon Valley companies and top UK universities. Its creators hope it will encourage police to take speeding more seriously and enable residents, pedestrians and cyclists to document traffic crimes in their area.</p><p>A user of the app opens it when they hear a speeding car approaching and films the car passing.</p><p>The app uses the number plate of the passing car to search the DVLA’s public registration database to find the make and model of the car.</p><p>From there, it determines the distance between the axles of the car, and compares it with the footage to calculate the speed.</p><p>The user then has the option of saving the video, or generating a report from it to share with the authorities.</p> <a href=""https://www.theguardian.com/world/2022/apr/10/speed-camera-app-developers-face-abuse-from-uk-drivers"">Continue reading...</a>",Speed camera app developers face abuse from UK drivers,ENTERTAINMENT & FUN,4116,86.5
"<p>Parag Agrawal says tech entrepreneur has declined offer, adding: ‘I believe this is for the best’</p><p>Elon Musk has performed a U-turn on joining Twitter’s board a week after it emerged he had taken <a href=""https://www.theguardian.com/technology/2022/apr/04/elon-musk-buys-stake-twitter-share-tesla-spacex"">a surprise 9.2% stake</a> in the social media company.</p><p>The world’s richest man was due to become a board member on Saturday but Twitter’s chief executive, Parag Agrawal, said on Monday morning that Musk had declined the offer. Musk, who is worth $260bn (£200bn), emerged as a large Twitter investor last week and was invited to join its board.</p> <a href=""https://www.theguardian.com/technology/2022/apr/11/elon-musk-will-not-join-twitter-board-after-all-companys-chief-executive-says"">Continue reading...</a>","Elon Musk will not join Twitter board after all, company’s chief says",BUSINESS & MONEY,2609,36.5
"<p>The Tesla boss, who now has a 9.2% stake in the social network, has offered suggestions and criticisms in a series of tweets</p><p>Elon Musk has set out his vision for Twitter after <a href=""https://www.theguardian.com/technology/2022/apr/04/elon-musk-buys-stake-twitter-share-tesla-spacex"">buying a 9.2% stake</a> in the company, in a series of posts on the social network described by one commentator as having “chaos energy”.</p><p>Since being appointed to the Twitter board on Tuesday, Musk has posted a stream of open questions about the present and future of the site, proposing new features, highlighting areas of concern, and making jokes. Typically for the Tesla billionaire, it was not always clear which was which.</p> <a href=""https://www.theguardian.com/technology/2022/apr/10/elon-musk-unveils-vision-for-twitter-after-joining-its-board"">Continue reading...</a>",Elon Musk unveils vision for Twitter after joining board,BUSINESS & MONEY,4000,36.5
"<p>Peter Thiel, the libertarian tech investor, says figures such as Warren Buffett are hindering cryptocurrency</p><p>Peter Thiel, the co-founder of PayPal and a Donald Trump ally, has accused a “finance gerontocracy” including Warren Buffett and Jamie Dimon of hindering bitcoin’s progress.</p><p>The outspoken libertarian tech investor described multibillionaire Buffett, the world’s richest investor, as the “sociopathic grandpa from Omaha” in a <a href=""https://www.youtube.com/watch?v=ko6K82pXcPA&amp;list=RDCMUCtOV5M-T3GcsJAq8QKaf0lg&amp;index=1"">keynote address</a> at the Bitcoin 2022 conference in Miami on Thursday.</p> <a href=""https://www.theguardian.com/technology/2022/apr/08/peter-thiel-paypal-founder-tirade-gerontocracy-bitcoin"">Continue reading...</a>",Paypal founder launches tirade against ‘gerontocracy’ over bitcoin,BUSINESS & MONEY,6980,36.5
"<p>Facebook owner Meta removes network from social media in move which could damage President Jair Bolsonaro</p><p>Facebook owner Meta Platforms has removed a network of social media accounts with ties to the Brazilian military that posed as fake non-profits to play down the dangers of deforestation.</p><p>The comments by Meta, published in a quarterly report, pose a reputational risk to Brazil’s President <a href=""https://www.theguardian.com/world/jair-bolsonaro"">Jair Bolsonaro</a>. The far-right former army captain is a longtime sceptic of environmentalism.</p> <a href=""https://www.theguardian.com/technology/2022/apr/07/brazil-military-posed-as-ngos-on-social-media-to-play-down-deforestation"">Continue reading...</a>",Brazil military ‘posed as NGOs on social media’ to play down deforestation,ENVIRONMENT & GREEN,8227,12.5
"<p>Quartet targeted by clients – thought to be Jordanian government agencies – of Israeli company even after Apple sued in November</p><p>New evidence has revealed that an Apple iPhone was successfully hacked by a government user of NSO Group’s Pegasus spyware in December, weeks after the technology giant sued the Israeli company in a US court and called for it to be banned from “harming individuals” using Apple products.</p><p>A report published on Tuesday by security researchers at Front Line Defenders (FLD) and Citizen Lab at the University of Toronto found that phones belonging to four Jordanian human rights defenders, lawyers and journalists were hacked by government clients of NSO – which appear to be Jordanian government agencies – from August 2019 to December 2021.</p> <a href=""https://www.theguardian.com/world/2022/apr/05/apple-iphone-pegasus-spyware-nso-group-israel-jordan"">Continue reading...</a>",Victim’s iPhone hacked by Pegasus spyware weeks after Apple sued NSO,SCIENCE & TECH,10984,56.5
"<p>A hack using a forged legal request that exposed consumer data collected by Apple and Meta shed light on the reach of the law</p><p>A <a href=""https://www.bloomberg.com/news/articles/2022-03-30/apple-meta-gave-user-data-to-hackers-who-forged-legal-requests"">brazen hack</a> that exposed consumer data collected by Apple and the Facebook-parent company Meta has raised fresh questions about how secure our data is in the hands of tech companies and how easily law enforcement can get hold of the information big tech collects.</p><p>It was revealed last week that hackers obtained the information of some Apple and Meta users by forging an emergency legal request, one of several mechanisms by which law enforcement agencies can request or demand that tech companies hand over data such as location and subscriber information.</p> <a href=""https://www.theguardian.com/technology/2022/apr/04/us-law-enforcement-agencies-access-your-data-apple-meta"">Continue reading...</a>",How can US law enforcement agencies access your data? Let’s count the ways,SCIENCE & TECH,12745,56.5
"<p>Putin may be ‘playing a long game’ on the cyber front, with attacks under way but not fully understood</p><ul><li><a href=""https://www.theguardian.com/world/live/2022/apr/02/russia-ukraine-war-latest-russian-troop-withdrawal-noticeable-says-zelenskiy-us-gives-kyiv-300m-more-in-live"">Russia-Ukraine war: latest updates</a></li></ul><p>The war in Ukraine has come with an ever-present threat of cyber catastrophe, as experts and US military officials remain on high alert for potential hacks. And while <a href=""https://www.theguardian.com/technology/2022/mar/09/catastrophic-cyber-war-ukraine-russia-hasnt-happened-yet-experts-say"">the big one</a> has yet to come, the battle online continues to escalate.</p><p>UK intelligence officers <a href=""https://apnews.com/article/russia-ukraine-zelenskyy-technology-europe-hacking-c36f62ac3397f2daa614c5ae5191fb89"">warned on Thursday</a> that Russia was increasingly seeking out cyber targets as its ground military campaign in Ukraine stalls. Additional reports on Wednesday revealed Russian hackers recently <a href=""https://www.reuters.com/world/europe/russian-hackers-targeted-nato-eastern-european-militaries-google-2022-03-30/"">attempted to penetrate</a> the networks of Nato and the militaries of some eastern European countries.</p> <a href=""https://www.theguardian.com/world/2022/apr/01/russia-ukraine-cyberwar"">Continue reading...</a>","Russia’s slow cyberwar in Ukraine begins to escalate, experts say",WORLD NEWS,16169,56.5
"<p>Quartet accused in two major hacking campaigns between 2012 and 2018, indictment unsealed by justice department reads</p><p>The US has unveiled criminal charges against four Russian government officials, saying they engaged in two major hacking campaigns between 2012 and 2018 that targeted the global energy sector and affected thousands of computers across 135 countries.</p><p>In one now-unsealed indictment from August 2021, the justice department said three alleged hackers from Russia’s Federal Security Service (FSB) carried out cyber-attacks on the computer networks of oil and gas firms, nuclear power plants, and utility and power transmission companies across the world between 2012 and 2017.</p> <a href=""https://www.theguardian.com/world/2022/mar/24/us-charges-russian-hackers-cyber-attacks"">Continue reading...</a>",US charges four Russian hackers over cyber-attacks on global energy sector,WORLD NEWS,28102,56.5
"<p>Who is winning the Russia-Ukraine infowars? Plus: lessons for the next pandemic<br><strong><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM53X"">Get the Guardian Weekly delivered to your home address</a></strong></p><p>If nothing else, Vladimir Putin’s packed stadium rally<strong> </strong>in Moscow last week revealed there is no shortage of Russian people who believe the Kremlin’s grotesquely doctored version of the “special operation” in Ukraine. But it’s not just a matter of state propaganda in Russia: a wider battle for informational truth is under way, exemplified last week by a deepfake video in which Ukraine’s leader Volodymyr Zelenskiy purportedly called on his own soldiers to surrender.</p><p>“It strikes me that the easiest way to find out if your leader is a big fan of authoritarianism is to follow the trail of lies and disinformation needed to keep them in power,” says San Francisco-based illustrator <a href=""https://www.instagram.com/staufferstudio/?hl=en"">Brian Stauffer</a> on the thinking behind his artwork for this week’s cover. “Although the truth can be manipulated, access to social media and smartphone cameras makes for fewer shadows to hide in.”</p> <a href=""https://www.theguardian.com/news/2022/mar/23/dark-arts-inside-the-25-march-guardian-weekly"">Continue reading...</a>",Dark arts: Inside the 25 March Guardian Weekly,WORLD NEWS,30330,56.5
"<p>Downing Street says Moscow behind calls to British defence secretary and home secretary last week</p><ul><li><a href=""https://www.theguardian.com/world/live/2022/mar/21/russia-ukraine-war-latest-news-kyiv-rejects-moscows-deadline-for-mariupol-surrender-biden-to-visit-poland-live"">Russia-Ukraine war: latest updates</a></li></ul><p>The Russian state was responsible for hoax calls to Ben Wallace and Priti Patel, pretending to be the Ukrainian prime minister, Downing Street has said.</p><p>In its first statement attributing blame for the video calls, No 10 said it believed Russian state actors were responsible, without giving more details on who linked to the Kremlin had been identified as being behind the attempts.</p> <a href=""https://www.theguardian.com/politics/2022/mar/21/russia-responsible-for-hoax-calls-to-wallace-and-patel-says-no-10"">Continue reading...</a>","Russia responsible for hoax calls to Ben Wallace and Priti Patel, says No 10",WORLD NEWS,33009,56.5
"<p>Experts recommend password managers for convenience and enhanced online safety, yet few of us use them</p><p>In a competitive field, passwords are one of the worst things about the internet. Long and complex passwords are more secure but difficult to remember, leaving many people using weak and easy-to-guess credentials. One study by the UK’s National Cyber Security Centre (NCSC) revealed how millions are using <a href=""https://www.bbc.co.uk/news/technology-47974583"">their pet’s name, football team names, ‘password’ and “123456”</a> to access online services.</p><p>But this leaves you wide open to attack: cybercriminals can crack weak passwords in seconds using automated tools. “A hacker needs roughly two seconds to crack an 11-character password made up of numbers,” says Alex Balan, director of security research at security company Bitdefender. If the password is more complex, containing numbers, symbols and uppercase and lowercase letters, the time needed to break it jumps to 400 years.</p> <a href=""https://www.theguardian.com/technology/2022/mar/19/not-using-password-manager-why-you-should-online-security"">Continue reading...</a>",Not using a password manager? Here’s why you should be…,SCIENCE & TECH,35609,56.5
"<p>Ukraine and its allies seem to be doing a good job in this vital battleground, but experts warn the global picture is complex</p><ul><li><strong><a href=""https://www.theguardian.com/world/series/ukraine-live/latest"">Russia-Ukraine war: latest updates</a></strong></li></ul><p>Speaking behind a podium bearing the Ukrainian state emblem, President Volodymyr Zelenskiy, in his now signature green attire, calls on his soldiers to lay down their weapons and return to their families.</p><p>The one-minute clip is a <a href=""https://www.theguardian.com/technology/2020/jan/13/what-are-deepfakes-and-how-can-you-spot-them"">deepfake</a>, the term for a sophisticated hoax that uses artificial intelligence to create a phoney image, most commonly fake videos of people.</p> <a href=""https://www.theguardian.com/world/2022/mar/19/russia-ukraine-infowar-deepfakes"">Continue reading...</a>",Deepfakes v pre-bunking: is Russia losing the infowar?,WORLD NEWS,36270,56.5
"<p>Schools are encouraging students to use mental health chatbots to address a surge in depression and anxiety. Critics worry they’re a Band-Aid solution unsupported by evidence</p><p>Fifteen-year-old Jordyne Lewis was stressed out.</p><p>The high school sophomore from Harrisburg, North Carolina, was overwhelmed with schoolwork, never mind the uncertainty of living in a pandemic that has dragged on for two long years. Despite the challenges, she never turned to her school counselor or sought out a therapist.</p> <a href=""https://www.theguardian.com/us-news/2022/apr/13/chatbots-robot-therapists-youth-mental-health-crisis"">Continue reading...</a>",Young and depressed? Try Woebot! The rise of mental health chatbots in the US,WELLNESS & HEALTHY LIVING,29,86.5
"<p>As a format it’s slow, encourages hype, and is difficult to correct. A radical overhaul of publishing could make science better</p><p>When was the last time you saw a scientific paper? A physical one, I mean. An older academic in my previous university department used to keep all his scientific journals in recycled cornflakes boxes. On entering his office, you’d be greeted by a wall of Kellogg’s roosters, occupying shelf upon shelf, on packets containing various issues of Journal of Experimental Psychology, Psychophysiology, Journal of Neuropsychology, and the like. It was an odd sight, but there was method to it: if you didn’t keep your journals organised, how could you be expected to find the particular paper you were looking for?</p><p>The time for cornflakes boxes has passed: now we have the internet. Having been printed on paper since the <a href=""https://royalsocietypublishing.org/journal/rstl"" title="""">very first scientific journal</a> was inaugurated in 1665, the overwhelming majority of research is now submitted, reviewed and read online. During the pandemic, it was often devoured on social media, an essential part of the unfolding story of Covid-19. Hard copies of journals are increasingly viewed as curiosities – or not viewed at all.</p> <a href=""https://www.theguardian.com/books/2022/apr/11/the-big-idea-should-we-get-rid-of-the-scientific-paper"">Continue reading...</a>",The big idea: should we get rid of the scientific paper?,WELLNESS & HEALTHY LIVING,2820,86.5
"<p>Diaspora families typically travel to the region each year for wedding shopping. But the pandemic has changed everything</p><p>Once a year, between December and February, brides-to-be and their families from all over the the US and Europe flock to India and Pakistan to escape the cold, wintry weather, visit family and, perhaps most importantly, shop for wedding outfits.</p><p>Designers and retailers prepare for the influx of non-residential Indians, or NRIs, by setting up sales, pop-up events or previews of their upcoming lines of lehenga cholis, anarkali and saris.</p> <a href=""https://www.theguardian.com/world/2022/apr/10/india-pakistan-bridal-weddings"">Continue reading...</a>",How south Asia’s bridal industry built a WhatsApp empire,ENTERTAINMENT & FUN,4650,86.5
"Husbands, wives and children: there was something for everyone at the Earl’s Court Motor Show that year<p>‘Probably the safest place to drive a car in Britain now is in the middle of a Scottish loch,’ is the arresting beginning of the <em>Observer Magazine</em> of 16 October 1966, a special issue to coincide with the <a href=""https://www.facebook.com/BBCArchive/videos/194829011411407/"" title="""">Motor Show</a> at Earl’s Court, London (‘Living with your car’).</p><p>This state of affairs was ‘a sad reflection on the crowded state of our roads, with their jams and their queues, their narrowness and their parking meters’ – newly arrived horrors clearly.</p> <a href=""https://www.theguardian.com/lifeandstyle/2022/apr/10/from-the-observer-archive-traffic-jams-parking-meters-motoring-special-1966"">Continue reading...</a>","Traffic jams and parking meters: the perils of motoring, 1966",ENTERTAINMENT & FUN,4650,86.5
